Year,Qtr1,Qtr2,Qtr3,Qtr4
2009,645,652,664,666
2010,662,671,670,676
2011,679,687,681,686
2012,693,687,693,690
2013,699,706,705,712
2014,716,715,721,724
2015,724,726,727,730
2016,743,744,750,760
2017,759,780,771,771
2018,776,780,801,796
2019,800,812,,
