Year,Qtr1,Qtr2,Qtr3,Qtr4
2009,815,818,820,823
2010,836,814,821,826
2011,821,830,836,838
2012,841,870,836,868
2013,860,863,855,865
2014,865,860,878,878
2015,886,890,896,904
2016,903,914,917,924
2017,940,939,943,943
2018,955,964,980,991
2019,994,1005,,
