capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,rental_methods,rental_url,short_name,station_id
47,FALSE,FALSE,66dc741f-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.73726186,-73.99238967,E 16 St & 5 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=496,6022.04,496
66,TRUE,FALSE,66dc748f-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.73704984,-73.99009296,E 17 St & Broadway,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=497,5980.07,497
30,FALSE,FALSE,66dc7511-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74854862,-73.98808416,Broadway & W 32 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=498,6364.09,498
36,TRUE,FALSE,66dc7580-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.76915505,-73.98191841,Broadway & W 60 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=499,6948.11,499
52,FALSE,FALSE,66dc75ec-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.76228826,-73.98336183,Broadway & W 51 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=500,6779.04,500
79,FALSE,FALSE,66dc7659-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.744219,-73.97121214,FDR Drive & E 35 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=501,6230.04,501
30,FALSE,FALSE,66dc76cd-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.714215,-73.981346,Henry St & Grand St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=502,5294.04,502
31,FALSE,FALSE,66dc7773-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.73827428,-73.98751968,E 20 St & Park Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=503,6055.08,503
53,FALSE,FALSE,66dc7802-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.73221853,-73.98165557,1 Ave & E 16 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=504,5779.08,504
39,TRUE,FALSE,66dc78c4-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74901271,-73.98848395,6 Ave & W 33 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=505,6364.07,505
45,FALSE,FALSE,66dc7957-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.73912601,-73.97973776,E 25 St & 2 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=507,6046.02,507
25,FALSE,FALSE,66dc79e6-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.76341379,-73.99667444,W 46 St & 11 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=508,6795.01,508
